iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
97,"(10, 11)","(10, 10)",North,"[(10, 12), (10, 10)]","[(10, 11), (4, 9), (34, 11), (22, 9), (16, 10), (17, 14), (12, 14)]","[(34, 11), (4, 9), (17, 14), (22, 9), (16, 10), (12, 14), (10, 12)]",97,37,19,56
98,"(34, 11)","(34, 12)",South,"[(34, 12), (34, 10)]","[(34, 11), (4, 9), (17, 14), (22, 9), (16, 10), (12, 14), (10, 12)]","[(34, 10), (22, 9), (4, 9), (10, 12), (16, 10), (12, 14), (17, 14)]",98,13,43,56
99,"(34, 10)","(34, 11)",South,"[(34, 11), (33, 10)]","[(34, 10), (22, 9), (4, 9), (10, 12), (16, 10), (12, 14), (17, 14)]","[(33, 10), (22, 9), (4, 9), (10, 12), (16, 10), (12, 14), (17, 14)]",99,14,42,56
100,"(33, 10)","(34, 10)",West,"[(34, 10), (32, 10)]","[(33, 10), (22, 9), (4, 9), (10, 12), (16, 10), (12, 14), (17, 14)]","[(32, 10), (22, 9), (4, 9), (10, 12), (16, 10), (12, 14), (17, 14)]",100,15,41,56
101,"(32, 10)","(33, 10)",West,"[(33, 10), (31, 10)]","[(32, 10), (22, 9), (4, 9), (10, 12), (16, 10), (12, 14), (17, 14)]","[(31, 10), (22, 9), (4, 9), (10, 12), (16, 10), (12, 14), (17, 14)]",101,16,40,56
102,"(31, 10)","(32, 10)",West,"[(32, 10), (30, 10)]","[(31, 10), (22, 9), (4, 9), (10, 12), (16, 10), (12, 14), (17, 14)]","[(30, 10), (22, 9), (4, 9), (10, 12), (16, 10), (12, 14), (17, 14)]",102,17,39,56
103,"(30, 10)","(31, 10)",West,"[(30, 9), (31, 10), (29, 10)]","[(30, 10), (22, 9), (4, 9), (10, 12), (16, 10), (12, 14), (17, 14)]","[(30, 9), (29, 10), (4, 9), (22, 9), (16, 10), (12, 14), (17, 14), (10, 12)]",103,18,38,56
104,"(30, 9)","(30, 10)",South,"[(30, 10), (30, 8)]","[(30, 9), (29, 10), (4, 9), (22, 9), (16, 10), (12, 14), (17, 14), (10, 12)]","[(29, 10), (30, 8), (4, 9), (22, 9), (16, 10), (12, 14), (17, 14), (10, 12)]",104,19,37,56
105,"(29, 10)","(30, 10)",West,"[(30, 10)]","[(29, 10), (30, 8), (4, 9), (22, 9), (16, 10), (12, 14), (17, 14), (10, 12)]","[(30, 8), (22, 9), (4, 9), (10, 12), (16, 10), (12, 14), (17, 14)]",105,19,37,56
106,"(30, 8)","(30, 9)",South,"[(30, 9), (31, 8)]","[(30, 8), (22, 9), (4, 9), (10, 12), (16, 10), (12, 14), (17, 14)]","[(4, 9), (22, 9), (17, 14), (10, 12), (16, 10), (12, 14), (31, 8)]",106,20,36,56
107,"(4, 9)","(4, 8)",North,"[(4, 10), (4, 8)]","[(4, 9), (22, 9), (17, 14), (10, 12), (16, 10), (12, 14), (31, 8)]","[(22, 9), (16, 10), (17, 14), (10, 12), (31, 8), (12, 14), (4, 10)]",107,47,11,58
108,"(22, 9)","(21, 9)",East,"[(23, 9), (21, 9)]","[(22, 9), (16, 10), (17, 14), (10, 12), (31, 8), (12, 14), (4, 10)]","[(17, 14), (16, 10), (12, 14), (10, 12), (31, 8), (4, 10), (23, 9)]",108,29,29,58
109,"(17, 14)","(17, 13)",North,"[(17, 13), (16, 14)]","[(17, 14), (16, 10), (12, 14), (10, 12), (31, 8), (4, 10), (23, 9)]","[(16, 10), (10, 12), (12, 14), (23, 9), (31, 8), (4, 10), (16, 14)]",109,29,29,58
110,"(16, 10)","(15, 10)",East,"[(17, 10), (15, 10)]","[(16, 10), (10, 12), (12, 14), (23, 9), (31, 8), (4, 10), (16, 14)]","[(12, 14), (10, 12), (16, 14), (23, 9), (31, 8), (4, 10), (17, 10)]",110,34,24,58
111,"(12, 14)","(12, 13)",North,"[(12, 13), (13, 14)]","[(12, 14), (10, 12), (16, 14), (23, 9), (31, 8), (4, 10), (17, 10)]","[(10, 12), (31, 8), (16, 14), (23, 9), (17, 10), (4, 10), (13, 14)]",111,34,24,58
112,"(10, 12)","(10, 11)",North,"[(10, 13), (10, 11)]","[(10, 12), (31, 8), (16, 14), (23, 9), (17, 10), (4, 10), (13, 14)]","[(31, 8), (23, 9), (16, 14), (13, 14), (17, 10), (4, 10), (10, 13)]",112,38,20,58
113,"(31, 8)","(30, 8)",East,"[(32, 8), (30, 8)]","[(31, 8), (23, 9), (16, 14), (13, 14), (17, 10), (4, 10), (10, 13)]","[(16, 14), (23, 9), (4, 10), (13, 14), (17, 10), (10, 13), (32, 8)]",113,21,37,58
114,"(16, 14)","(17, 14)",West,"[(17, 14), (15, 14)]","[(16, 14), (23, 9), (4, 10), (13, 14), (17, 10), (10, 13), (32, 8)]","[(15, 14), (23, 9), (4, 10), (13, 14), (17, 10), (32, 8), (10, 13)]",114,30,28,58
115,"(15, 14)","(16, 14)",West,"[(16, 14), (14, 14)]","[(15, 14), (23, 9), (4, 10), (13, 14), (17, 10), (32, 8), (10, 13)]","[(14, 14), (23, 9), (4, 10), (13, 14), (17, 10), (32, 8), (10, 13)]",115,31,27,58
116,"(14, 14)","(15, 14)",West,"[(15, 14), (13, 14)]","[(14, 14), (23, 9), (4, 10), (13, 14), (17, 10), (32, 8), (10, 13)]","[(13, 14), (23, 9), (4, 10), (17, 10), (32, 8), (10, 13)]",116,32,26,58
117,"(13, 14)","(14, 14)",West,"[(14, 14), (12, 14)]","[(13, 14), (23, 9), (4, 10), (17, 10), (32, 8), (10, 13)]","[(4, 10), (23, 9), (10, 13), (17, 10), (32, 8)]",117,33,25,58
118,"(4, 10)","(4, 9)",North,"[(4, 11), (4, 9), (3, 10)]","[(4, 10), (23, 9), (10, 13), (17, 10), (32, 8)]","[(23, 9), (17, 10), (10, 13), (32, 8), (4, 11), (3, 10)]",118,48,12,60
